id	name	Description
2000	丧气芝士条	在一些阴郁的妖怪中流行的零食，在浓郁的芝士中混有白果独有的苦味，能让味觉产生强烈的回甘后味，但我完全无法理解。
2001	阴郁水果派	对喜欢酸味的人来说是味蕾的盛宴，但不喜欢酸味的人就是牙齿和舌头的炸弹！只在一些小众的妖怪中流行的奇怪做法。
2002	绝叫关东煮	旧地狱中最流行的聚会小吃，将各种食材置入后，加上辣椒刺激，让人汗流满面的同时，却无法停下，是魔力十足的料理。
2003	脆旋风	将虫类的甲壳磨成大碎块，拌入面中，吃起来香脆又下火，有一种别样的异世界猎奇感的奇怪料理。
2004	仰望天花板派	在水果派里探出一个鱼头，仿佛看着地底的天花板，充满了与地狱相衬的绝望气息。
2005	兜甲蒸糕	无论是地上还是地下，兜角甲虫都是力量和无敌的象征！这是憧憬它的力量而诞生的盔甲料理！
2006	狮子头	爱酒之人无不喜欢的基础下酒菜！气派又野性的狮子头配上烈性的酒，是鬼族起床的早餐！
2007	巨人玉子烧	将普通的玉子烧做大许多倍，就是这款在鬼族中流行的巨人玉子烧了！其澎湃的存在感让豪迈之人为其燃烧！
2008	大江户船祭	用华丽的祭典船造型、摆满上好的鱼刺身、周围散发着保鲜而制作的冰雾，是真真真正的宴会的焦点！
2009	樱花布丁	粉色的可爱甜品，Q软又富有弹性，香蜜的甜美气息使它成为世界上所有的女孩子都无法拒绝的无敌甜品。
2010	提神布丁	大大提升了酸度的可怕布丁，改良了提神的效果，只要吃一口，就能让困倦的身体打起精神，但因为其用料过于凶猛，很不利于口腔健康……
2011	燃尽布丁	究极加料、一颗就调动起身上包括多巴胺肾上腺激素等多种兴奋元素疯狂舞动的禁忌甜食，妖怪食用后可以疯狂舞蹈一整夜，但是兴奋过后会不由地感到“我燃尽了”。
2012	猫饭	据说是阿燐刚刚被觉收养时、觉常做给她的简易盖浇饭，面粉勾芡后淋在鱼肉上，那种温柔的味道一直留在燐的记忆里。
2013	三文鱼天妇罗	将三文鱼裹上蛋液和面粉，炸至通体金黄，咬一口汁水四溢，隔壁的猫猫都馋哭啦！
2014	鱼跃龙门	外表是鲤鱼起跳的造型，剖开后尽是梦幻的宝藏，是猫科动物无法抵抗的究极美食。
2015	芝士蛋	据说是阿空刚刚被觉收养时、觉常做给她的料理，在蛋饼里混入浓香的芝士，让人无法拒绝的小吃。
2016	一击☆必杀	加入了极为刺激的食材和辅料，对味觉的刺激满点的超级烤串，阿空亲自为它起了一个中二度满满的名字，结果在保持野性的妖怪中莫名的有人气。
2017	地狱激辛警告！	超超超级辣加倍的牛肉咖喱饭！据说只有拥有极限忍耐力的人和傻瓜才会尝试这道料理！
