ID	NAME	Description1	Description2	Description3
3000	多多良小伞	寄宿在怪异唐伞上的灵，因为一直没有人使用，不知不觉就付丧神化了。是个只要见到别人被吓了一跳，就会快乐得手舞足蹈的家伙。	这家伙的性格好麻烦啊！本来以为是个开朗亲切的妖怪，结果动不动就哭鼻子……我拿这种家伙最没办法啦！好在她总是很快就能振作起来！	尽管偶尔会露出悲观的一面，但她内心深处却是个爽朗坚毅的妖怪。虽然总是遭遇挫折，却总是花样层出地努力着呢。这份能量，希望我也可以拥有！
3001	村纱水蜜	居然让醉心于让船沉没的妖怪来担任圣辇船的船长，命莲寺真是从里到外都让人无法理解。这家伙能在任何水面引发水难事故，以后得更加注意厨房积水！	虽然拜入佛门已经有千年之久，却还是一点佛门弟子的自觉都没有。过去在海上胡作非为惯了，至今仍瞒着住持到处恶作剧。不过对命莲寺不利的事，她是绝对不会做的。	恣性洒脱的船长，甘愿成为佛门弟子，受佛门管束(其实也不太管得住)，只为报答千年前的恩情。果然不能以貌取人呀。村纱小姐她，有着一颗有情有义的金子般的心呢。
3002	封兽鵺	古老的真相不明的妖怪——鵺。长得和传说完全不一样真可惜……虽然也是命莲寺的弟子，但总是见到她独自在寺院附近无所事事地游荡，似乎不太合群的样子。	她就像是被忽视、通过恶作剧来吸引大家注意力的别扭的孩子。内心希望融入寺中，却笨拙地不知道该怎么表达……明明活了这么久，还是不谙世故呢。	越是在意就越容易畏缩……结果她的内心就和她的形象一样无法被人看清，这难道就是“无法名状之物”的寂寞吗？但她如今已经展露出自己的真相，大家以后也一定会慢慢理解她的率真的！
3003	物部布都	通过长时间自己诅咒自己从而沉眠的古代人。大概是睡了太久，思考方式也跟古时候一样，与普通人完全脱节……目前在努力学习现代知识，结果来说变得更加不伦不类了。	如果不提她那套落伍的作风，其实她也蛮有仙人那种风格，尤其对风水什么的似乎很有研究。我是搞不懂啦……要不下次装修的时候请她帮忙看看好了。	无法完全割舍过去，就说明对过去还留有怀念吧？尽管这样，布都小姐还是毅然决然地成为尸解仙的实验品。我虽然无法理解人类的这份忠心，但也感到非常敬佩！
3004	霍青娥	经常见到她在神庙附近晃荡嬉玩的样子，似乎对修行不太热心……但又十分热衷于向别人传达修道的好处。实在搞不明白她到底在想什么。是个看起来很正统，行为和思想却很另类的仙人。	想要做成一件事就会不计后果地去达成，就算自己的行为不被人理解，她也会摆出一副理所当然的态度。要说她是被欲望驱使，又觉得恰恰相反……她所做的那些事，与其说是为了欲望，或许只是单纯的性格使然。	邪仙不一定就是邪恶的仙人。仅仅由于思考和行动都不够妥当就被断绝天人之路，确实是让我有些费解……我只知道青娥小姐非常有个性！如果成为天人就要泯灭个性，那我希望青娥小姐还是一直保持这个样子比较好。
3005	苏我屠自古	古代人的亡灵。过去似乎怀有很深的怨恨，所以性质上是妖怪们最害怕的怨灵。有点不太敢接触她呢……	实际接触后，发现屠自古小姐的性格确实是直爽又豁达，还充满活力。一点也不像是怨灵呢。大概是怨恨已经消散得差不多了吧？能让心胸豁达的屠自古小姐变成怨灵，一定是相当痛苦的事情……	没想到没想到，让屠自古小姐变成怨灵的元凶竟然是布都小姐！可她们两人的感情还是很要好的样子！？屠自古小姐的心胸何止是豁达的程度，她大概离成佛只有一步之遥了。
3006	云居一轮	能够使役入道的入道使，命莲寺的后厨担当。一轮小姐头脑明晰，沉着冷静。据说原本是个修炼魔法的人类，不知道为什么变成了入道使这种少见的妖怪，但似乎依然保留着人类的心。	N/A	N/A
3007	云山	受一轮小姐驱使的见越入道，能够自由地变换形态。在命莲寺一般负责处理一些体力劳动和高空作业。虽然云山老爹沉默寡言，还有点老派的顽固，但也有重视情谊的一面。	空	空
3008	宫古芳香	死后被邪仙操纵着的僵尸，因为被施加了防腐的咒语所以不会腐烂。性格不明，大概已经没有自我了吧？经常念叨一些谁也听不懂的话，不过干活的力气很大！就是吃得有点多……	空	空
3009	二岩猯藏	妖怪狸的首领，有着相应的威严和领导风范，擅长变幻术。不过再如何擅长变幻的妖兽，想要完全藏起尾巴和耳朵都是不可能的。另外尾巴的大小其实是妖力的计量表，或许她从最初开始就没有藏起自己尾巴的打算。	空	空
3010	圣白莲	命莲寺的住持。曾经是人类高僧，因为帮助妖怪被人类封印了千年，后来被妖怪们协力救出并创建了命莲寺。和弟子们不同，她既不喝酒也不吃肉，是一个严守清规的僧人。	空	空
3011	丰聪耳神子	神灵庙的住持。从长眠中苏醒过来的圣人，据说能够理解十个人同时说的话并准确地给予回答。性格亲切到有些轻浮，不过和她直接面对面的话，会有种全部都被看透一样的感觉……	空	空
3012	娜兹玲	娜兹玲简介	空	空
