EnumId	Name	Description
Partner_Komachi	八重雾中渡	使用操纵距离程度的能力，将试图落座的客人立即拉至桌椅旁
Partner_Kisume	钓瓶落之怪	驱赶普通客人时不会造成不良影响，但收不到钱
Skill_Yamame_Reward	偶像狂欢夜	排队的客人被偶像吸引，本日结束后也不会离席，剩余$a秒
SlowDown	犍陀多绳索	被蛛网缠住了！移动速度下降$a%，剩余$b秒
Skill_Yuugi_Punishment	三步必杀	行动被限制，剩余$a秒
Skill_Yuugi_Punishment_2	三步必杀·罪人之枷	移动速度下降$a%
Skill_Yuugi_Punishment_3	三步必杀·怪力乱神	无法行动，剩余$a秒
Skill_Orin_Reward	猫醉步	全场顾客对含有$a的酒水评价等级至少为$b，剩余$c秒
Skill_Utsuho_Reward	核功率骤增	所有煮锅与蒸锅功率过载，能瞬间完成料理，剩余$a秒
Skill_Utsuho_Punishment	核反应失控	下$a次夜雀之歌未完美演奏时，将会发生核反应失控	
Satori_Eye	读心之眼	显示所有客人的预算
Parsee_Shield	仇返人形	发生导致Combo中断的失误时，Combo不会中断，剩余$a次
BOSS_KOISHI_PHASE_1	盲猜怪诞料理Time！	客人封闭了内心，不再显示点单内容，也不再关注流行趋势，且评价不受厨具「夜雀」效果的影响。使顾客达到“满意”评价可获得分数！
BOSS_KOISHI_PHASE_2	重口味怪诞料理Time！	最终评价不受厨具「夜雀」与部分Buff效果的影响；\n原订单使客人达到“完美”评价的同时需要满足额外的调味Tag即可获得对应分数和奖励符卡，否则会受到惩罚符卡！该Tag随着时间进行刷新；
BOSS_KOISHI_PHASE_3	无意识的无意识料理Time！	全场逐渐陷入了无意识状态……不再受到耐心不减的影响，满足恋恋使魔的需求以解除对应的无意识状态并获取解开恋恋谜题的钥匙！\n解开恋恋的谜题后，为恋恋上菜可获得相应的分数！
Unconscious_Object	意识抑制	"$a"陷入了无意识状态，剩余$b秒
Skill_Koishi_Punishment	自我极意！	普通客人封闭了内心，不再显示点单内容，也不再关注流行趋势，且评价不受厨具「夜雀」效果的影响，剩余$a秒
Skill_Koishi_Reward	自在极意！	顾客点单、吃饭、店员操作等所有需要冷却时间的动作，全部无冷却、无意识发动，达到理论速度的极限，剩余$a秒
MoveFaster	神清气爽	泡完温泉感觉神清气爽，移动速度提升$a%！
