id	name	Description
1000	炸虾天妇罗	“天妇罗”又名“天麸罗”。将新鲜大虾裹上面粉做的罗衣，放入油锅炸至金黄酥脆，再控油捞出，隔壁家的童子都馋哭了。
1001	黄金酥鱼饼	在鱼馅内加入适量蜂蜜搅拌后，碾压成鱼饼，投入油锅炸至金黄色，随炸随食。
1002	全肉盛宴	将各种高级烤肉堆成小山的料理，无论视觉还是分量上都简单暴力，对于嗅觉灵敏的食客是秒杀级的食谱。
1003	腌黄瓜	将黄瓜切段后用盐等调味腌制，出现了神奇而难以抗拒的风味。
1004	奶油焗蟹	奶油焗的螃蟹在没开盖之前就已经香气四溢，然而这香气只是前戏。撕开蟹钳，弹出白嫩饱满的肉质，此时再细细地吸入汤汁，螃蟹固有的鲜味才彻底地融合与释放。
1005	拟尻子玉	据说尻子玉是人类进化后残存的尾骨，是河童一族最喜欢的食物。从前用血腥的方式从人类那里夺取，但是随着时代的进步、已经有了料理的方式来替代，只是成本昂贵。
1006	大阪烧	听说是外界流行的街边小吃，使用面糊和各种食材混合后在铁板上烧制而成，脆香而丰富，因其百变和平价的特性被所有人喜爱。
1007	章鱼烧	听说也是外界流行的街边小吃，在特制的面糊中裹上引发奇迹的章鱼脚，糯脆的外衣之下Q弹的章鱼脚产生让人幸福的感觉。
1008	海胆刺身	制作意外的简单，但食材的获取却非常的困难，据说是现世流行的超高级料理，是每个人的梦想。
1009	蘑菇肉片	将蘑菇和肉切片后，混入锅里一起炒，是非常基本的家常料理。
1010	秘制鲜菌煲	长期专研于蘑菇学的人类魔法使所创的秘制菜谱。食材均选自魔法森林所产的新鲜菌类，据说较其他地方产出的菌类有更高营养价值。
1011	蘑女的舞踏烩	蘑菇为主角，佐以各种鲜嫩食材的强力料理，金灿灿的光芒散发着强烈的存在感，香浓的口感可以瞬间蒸发人的灵魂，一发沉沦。
1012	奶香蘑菇汤	浓郁的奶香汤底煮出来的魔性之汤，尝下第一口就无法停下来。制作简单、材料随处可见，还拥有极高的营养价值。
1013	普通小蛋糕	有着惊人热量的小点心，据说能迅速强健体魄。上面写着“吃掉我”，非常诱人。吃多了估计会长胖吧……
1014	七色羊羹	经典甜食辅以特殊的处理，呈现梦幻的色彩，让人敬畏、只敢远观不敢亵玩，能吃上一次，终生难忘。
1015	手握寿司	日本最传统的料理之一，将鱼切片后盖在手握的饭团上，解饿又鲜美，拥有很长的历史。
1016	南瓜虾盅	掏空小南瓜，用鲜嫩的虾肉和豆腐填充，再进行蒸制，香甜可口，又非常健康。
1017	幻想佛跳墙	由东方文明古国最强料理改造而来，据说得道的真佛也会因为它的气味夺墙而走，摒弃斋戒，真的是很神奇！
