ID	TITLE	DESCIRIPTION
DLC2_Kizuna_Parsee_LV1_Upgrade_Mission	请帕露西品尝一下「丧气芝士条」吧！	从帕露西那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC2_Kizuna_Parsee_LV2_Upgrade_Mission_001	来交换水果吧！	柠檬作为调味既健康又能去腥，真想入手啊——去摘些地上的水果和帕露西小姐交换吧！
DLC2_Kizuna_Parsee_LV2_Upgrade_Mission_002	请帕露西品尝一下「阴郁水果派」吧！	从帕露西那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC2_Kizuna_Parsee_LV3_Upgrade_Mission_001	地底的流行料理大揭秘！	地底最近流行一种魔力十足的料理，让食客即使汗流满面也无法放下筷箸……想知道这道料理的诀窍，就赶紧去准备材料吧。
DLC2_Kizuna_Parsee_LV3_Upgrade_Mission_002	请帕露西品尝一下「绝叫关东煮」吧！	从帕露西那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC2_Kizuna_Yamame_LV1_Upgrade_Mission_001	乱吃东西会拉肚子的！	地上有很多美味又健康的面条，下次请山女尝一尝吧！
DLC2_Kizuna_Yamame_LV1_Upgrade_Mission_002	请黑谷山女品尝一下「脆旋风」吧！	从黑谷山女那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC2_Kizuna_Yamame_LV2_Upgrade_Mission	请黑谷山女品尝一下「仰望天花板派」吧！	从黑谷山女那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC2_Kizuna_Yamame_LV3_Upgrade_Mission_001	在地底备受欢迎的“力量涌现”料理！	地底对力量的追崇还真是狂热啊，就连力量涌现的料理在地底也特别受欢迎！不过，山女似乎还没尝过……那给山女做几份品尝一些吧！
DLC2_Kizuna_Yamame_LV3_Upgrade_Mission_002	请黑谷山女品尝一下「兜甲蒸糕」吧！	从黑谷山女那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC2_Kizuna_Yuugi_LV1_Upgrade_Mission_001	我有酒，你有菜吗？	想和鬼侃侃而谈，至少得端碗酒吧？没有酒的话……至少准备些下酒菜吧？
DLC2_Kizuna_Yuugi_LV1_Upgrade_Mission_002	请勇仪品尝一下「狮子头」吧！	从星熊勇仪那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC2_Kizuna_Yuugi_LV2_Upgrade_Mission_001	如火如荼的地底巨物比赛！	所谓巨物，就是庞大之物。比如巨大的酒杯、巨大的狼牙棒、巨大的鞋子等等——既然是地上的妖怪，就给我们看看地上有什么非凡之物吧！
DLC2_Kizuna_Yuugi_LV2_Upgrade_Mission_002	请勇仪品尝一下「巨人玉子烧」吧！	从星熊勇仪那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC2_Kizuna_Yuugi_LV3_Upgrade_Mission_001	小麻雀也有大气魄！	不多拿出点和鬼的气派相衬的料理，很快就会让众鬼生厌了……让我瞧瞧你这个小麻雀究竟有多大本事吧！
DLC2_Kizuna_Yuugi_LV3_Upgrade_Mission_002	请勇仪品尝一下「大江户船祭」吧！	从星熊勇仪那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC2_Kizuna_Satori_LV1_Upgrade_Mission_001	打起精神来吧！	如果你真的想帮我，不如去帮我找些提神的东西吧。要是能一鼓作气把工作完成，我就能得到休息的时间了。或许还能腾出点时间配合你的工作。
DLC2_Kizuna_Satori_LV1_Upgrade_Mission_002	请古明地觉品尝一下「樱花布丁」吧！	从古明地觉那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC2_Kizuna_Satori_LV2_Upgrade_Mission_001	燃烧吧！古明地觉！	提神饮料的作用越来越不明显了，还有其他能够提神的食物吗？只要能够暂时增加我的工作效率，就能节约出不少时间。
