EnumId	Name	Description
PartnerBuff_Sakuya_Deportation	咲夜·驱逐	暂无
PartnerBuff_Sakuya_Intimidate	咲夜·威压	暂无
PartnerBuff_Sakuya_TheWorld	咲夜·时停	暂无
PartnerBuff_Sakuya_Fever	咲夜·热火朝天	暂无
PartnerBuff_Kyouko_SolicitCustomers	响子·揽客	客人刷新速度变为$a倍，剩余$b秒
PartnerBuff_Kyouko_Focus	响子·集中	做菜所需时间变为$a倍，剩余$b秒
PartnerBuff_Kyouko_InstantFinishEat	响子·瞬间完食	客人将会立即吃完料理，剩余$a秒
PartnerBuff_Kyouko_Fever	响子·热火朝天	客人刷新速度变为$a倍\n做菜所需时间变为$b倍\n客人将会立即吃完料理\n剩余$c秒
PartnerBuff_Kosuzu_Dialogues	小铃·话术	上菜结束后若评价至少为普通，额外增加$a点心情，剩余$b秒
PartnerBuff_Kosuzu_LunaticCook	小铃·渐入佳境	每个Combo会减少$a%做菜时间，剩余$b秒
PartnerBuff_Kosuzu_ThrowDeliver	小铃·投掷上菜	上菜距离变为无限了，剩余$a秒
PartnerBuff_Kosuzu_Fever	小铃·热火朝天	上菜结束后若评价至少为普通，额外增加$a点心情\n每个Combo会减少$b%做菜时间\n上菜距离变为无限了\n剩余$c秒
PartnerBuff_Aunn_MoreTip	阿吽·福兽	小费提升$a%!，剩余$b秒
PartnerBuff_Aunn_GiveTip	阿吽·财兽	客人在$a秒内持续向财兽打赏
PartnerBuff_Aunn_PatientFreeze	阿吽·耐心冻结	客人的耐心不会减少了，剩余$a秒
PartnerBuff_Aunn_Fever	阿吽·热火朝天	小费提升$a%!\n客人持续向财兽打赏\n客人的耐心不会减少了\n剩余$b秒
Kogasa_Positive	雨夜怪谈	带有$aTag的料理制作时间减少$b且提供额外的$c续单率，剩余$d秒
Murasa_Positive	船幽灵附身	获得的其他Buff时间延长$a秒，剩余$a秒
Murasa_Negative	头晕目眩	行动反向，剩余$a秒
Nue_Positive_3Red	神秘飞碟·红红红	全场顾客对含有$a的料理评价等级至少为$b，剩余$c秒
Nue_Positive_3Green	神秘飞碟·绿绿绿	料理不消耗食材，且返还消耗酒水，剩余$a秒
Nue_Positive_3Blue	神秘飞碟·蓝蓝蓝	获得金钱提高至$a,剩余$b秒
Nue_Negative_2Red	诡异飞碟·红红绿	全场顾客对含有$a的料理评价等级最高为$b，剩余$c秒
Nue_Negative_2Green	诡异飞碟·绿绿X	消耗的食材与酒水提高到原来的$a倍，剩余$b秒
Nue_Negative_2Blue	诡异飞碟·蓝蓝X	获得金钱减少至$a,剩余$b秒
Seiga_Positive	天下无墙	伙伴可以自由穿越客人或障碍物，剩余$a秒
Seiga_Negative	走火入魔	稀客进入走火入魔状态，每次结账，无论评价高低，都有$a概率额外释放一次惩罚符卡，剩余$b秒
Tojiko_Positive	电光石火	移动速度提高$a%，剩余$b秒
Tojiko_Negative	小心触电！	下$a次夜雀之歌未完美演奏时，将会引发天雷轰顶
Tojiko_Negative_Stun	天雷轰顶	伙伴：$a被闪电击晕了，剩余$b秒
Futo_Positive	大物忌正餐	客人在评价时会根据评价高低，产生不同等级的献给神明的酒水贡品，加入到库存中，剩余$a秒
Futo_Negative	炽热之盘	只可使用一个餐盘，剩余$a秒
Mamizou_Negative	绿叶支付	收到的钱怎么感觉像叶子呢？\n剩余$a秒	
Futo_Burn	灼伤	无法控制自身的行动，剩余$a秒
Seiga_Compulsion	邪仙之蛊	座位$a的客人受到了青娥的蛊惑，不再接受你的服务 ！ $b秒后解除
