ID	TITLE	DESCIRIPTION
DLC3_Kizuna_TataraKogasa_LV1_Upgrade_Mission	请多多良小伞品尝一下「烤地瓜」吧！	从小伞那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC3_Kizuna_TataraKogasa_LV2_Upgrade_Mission_001	巫女在寺院卖的外界团子！？	之前巫女们跑到命莲寺卖的就是瘦马团子哦！好像是还原了外面世界的做法，生意很火爆呢——要是让我尝尝各种各样的团子，我大概回忆起更具体的事情。
DLC3_Kizuna_TataraKogasa_LV2_Upgrade_Mission_002	请多多良小伞品尝一下「瘦马团子」吧！	从小伞那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC3_Kizuna_TataraKogasa_LV3_Upgrade_Mission_001	一起做惊奇料理吧！	吓人的方法也要与时俱进！但究竟什么程度的惊奇才算吓人呢……做一些不可思议的料理给小伞尝尝，然后一起来找找头绪吧！
DLC3_Kizuna_TataraKogasa_LV3_Upgrade_Mission_002	请多多良小伞品尝一下「惊吓！大冒险」吧！	从小伞那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC3_Kizuna_MurasaMinamitu_LV1_Upgrade_Mission	请村纱水蜜品尝一下「比斯开湾饼干」吧！	从村纱小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC3_Kizuna_MurasaMinamitu_LV2_Upgrade_Mission_001	就像米饭盖浇米饭一样！？	天下没有免费的午餐。我去你店里吃饭都要给钱，凭什么我得请你吃肉？用高级料理和我交换熏肉？……成交！
DLC3_Kizuna_MurasaMinamitu_LV2_Upgrade_Mission_002	请村纱水蜜品尝一下「海盗熏肉」吧！	从村纱小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC3_Kizuna_MurasaMinamitu_LV3_Upgrade_Mission_001	船幽灵的报恩！	船长的字典里没有“放弃”两个字哦！我想说的是，你作为专业人士，能帮我找些不可思议的斋菜的参考吗？或许我能从中找到些头绪。
DLC3_Kizuna_MurasaMinamitu_LV3_Upgrade_Mission_002	请村纱水蜜品尝一下「罗汉上素」吧！	从村纱小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC3_Kizuna_HoujuuNue_LV1_Upgrade_Mission_001	整蛊老爹大作战！	我没办法把棉花糖拿到云山面前炫耀，但我很好奇云山那个老古董看到云山棉花糖的表情……想做的话，就先去准备一下食材吧。
DLC3_Kizuna_HoujuuNue_LV1_Upgrade_Mission_002	请封兽鵺品尝一下「云山棉花糖」吧！	从鵺小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC3_Kizuna_HoujuuNue_LV2_Upgrade_Mission_001	封兽的解密游戏！	我突然想到了一个有趣的游戏——如果你能给我做出“真相不明”的料理，我就考虑给你圣白莲子糕的食谱吧。
DLC3_Kizuna_HoujuuNue_LV2_Upgrade_Mission_002	请封兽鵺品尝一下「圣白莲子糕」吧！	从鵺小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC3_Kizuna_HoujuuNue_LV3_Upgrade_Mission_001	把“真相不明”具现化！？	唔……真相不明的感觉，应该与身处幻境的感觉相似。我记得你可以做出梦幻般的料理？这种料理似乎与我的能力所呈现的气质有什么相似之处……
DLC3_Kizuna_HoujuuNue_LV3_Upgrade_Mission_002	请封兽鵺品尝一下「幻想星莲船」吧！	从鵺小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC3_Kizuna_MononobeFuto_LV1_Upgrade_Mission_001	给古风仙人的应援料理！	且不说要跨越古代文化和现代文化的千年沟壑，幻想乡的常识又是别具一格，实在是把吾难倒了……汝愿意为吾做应援料理？善哉！如此就有劳汝了！
DLC3_Kizuna_MononobeFuto_LV1_Upgrade_Mission_002	请物部布都品尝一下「松子糕」吧！	从布都小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC3_Kizuna_MononobeFuto_LV2_Upgrade_Mission_001	象征长寿之物！？	像这样象征长寿之物有许多。若是汝愿意为吾烹饪一道以鹿肉作食的料理，吾愿意继续为汝详解。
DLC3_Kizuna_MononobeFuto_LV2_Upgrade_Mission_002	请物部布都品尝一下「白鹿贞松」吧！	从布都小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC3_Kizuna_MononobeFuto_LV3_Upgrade_Mission_001	幻想乡特色与道教特色？	如果你能给我做点具有幻想乡特色的美味料理，我就教给你一道具有道教特色的经典美食，如何？
DLC3_Kizuna_MononobeFuto_LV3_Upgrade_Mission_002	请物部布都品尝一下「太极八卦鱼肚」吧！	从布都小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC3_Kizuna_KakuSeiga_LV1_Upgrade_Mission_001	美味的戏法！？	哎呀呀。不要对我产生敌意嘛。想学习新料理这种愿望，我也可以帮你实现哦。你把我需要的东西带过来，看我给你变个“美味的戏法”~
DLC3_Kizuna_KakuSeiga_LV1_Upgrade_Mission_002	请霍青娥品尝一下「蜜饯栗子」吧！	从青娥小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC3_Kizuna_KakuSeiga_LV2_Upgrade_Mission_001	和板栗有关的故事~	讲了这么多板栗的故事，有点嘴馋了呢……你做了蜜饯栗子和我分享？那我就不客气了哟~
DLC3_Kizuna_KakuSeiga_LV2_Upgrade_Mission_002	请霍青娥品尝一下「天师板栗焖菇」吧！	从青娥小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC3_Kizuna_KakuSeiga_LV3_Upgrade_Mission_001	道教的荷花宴！	这种富有“文化底蕴”的宴席，小麻雀的脑袋真的能理解吗？既然这么胸有成竹，那就先做些来看看吧~
DLC3_Kizuna_KakuSeiga_LV3_Upgrade_Mission_002	请霍青娥品尝一下「荷花鱼米盏」吧！	从青娥小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC3_Kizuna_SogaToziko_LV1_Upgrade_Mission_001	埋在墓园的地瓜！	那个地方对道士仙人啥的很敏感。我没有其他对象可以拜托……请你帮我去妖怪寺院的墓地把之前埋下的地瓜拿回来吧！
DLC3_Kizuna_SogaToziko_LV1_Upgrade_Mission_002	请苏我屠自古品尝一下「拔丝地瓜」吧！	从屠自古小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC3_Kizuna_SogaToziko_LV2_Upgrade_Mission_001	来交换料理吧！	作为侍奉太子大人的人，我们本就擅长厨艺。这些年月里，我更是学了不少民间的料理……你想和我交换蘑菇料理？没问题！来互相学习吧！
DLC3_Kizuna_SogaToziko_LV2_Upgrade_Mission_002	请苏我屠自古品尝一下「香煎双菇肉卷」吧！	从屠自古小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC3_Kizuna_SogaToziko_LV3_Upgrade_Mission_001	最适合炸物的天选食材？	从古至今，炸物基本都以鸟类为主，尤其是炸鸡——要我说，最适合做炸物的还得是鸟肉！你若是非要改变我的想法，那就去证明我的错误吧！
DLC3_Kizuna_SogaToziko_LV3_Upgrade_Mission_002	请苏我屠自古品尝一下「什锦天妇罗」吧！	从屠自古小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
DLC3_Main_Part2_Mission	忙碌的博丽巫女	对灵梦小姐来说，祭典最大的意义就是刺激神社经济。这次竟然连摊位都没有准备，实在是有些担心……有空的话去看看她吧。
DLC3_Main_Part4_GuidedMission	妖兽的生存危机？	如今，妖兽的存在感越来越稀薄，妖力也大为折损。幻想乡难道只是人类与妖怪的舞台吗？我们妖兽也是时候崛起，让大家看向我们！
DLC3_Main_Part4.5.3_GuidedMission	运筹帷幄的狸猫老大	你和响子都是兽道的王牌，不能都放在一个篮子里……只能寻找其他参赛伙伴了。别担心。老朽已经心中有数，去神社和人类村子找找看吧~
DLC3_MyourenTemple_Shop_Lv2_Upgrade_Mission	命莲寺·店铺扩张	听说命莲寺的特色饮料很受欢迎，我也想……我的小猫咪也想尝尝！
DLC3_MyourenTemple_Shop_Lv3_Upgrade_Mission	命莲寺·店铺扩张·改	为了工作效率着想，请你准备一些能够提高干劲的应援便当吧。
DLC3_DivineSpiritMausoleum_Shop_Lv2_Upgrade_Mission	神灵庙·店铺扩张	唔……听说仙界的松子有延年益寿的功能，这次你就给我们做些松子料理吧！
DLC3_DivineSpiritMausoleum_Shop_Lv3_Upgrade_Mission	神灵庙·店铺扩张·改	嘿嘿！听说道士们酿造出了没有涩味的啤酒，正适合在猫咪派对上喝！你给我们准备个一打的样子吧——
DLC3_Main_Part8_HakureiFestivalChallenge_GuidedMission	一起拿下博丽大祭的总冠军吧！	面对自己选择的项目，然后拿下冠军！
DLC3_Main_Part2_GuidedMission	小心狸猫！	我刚刚在回来的路上，看到兽道有群狸猫鬼鬼祟祟地集合在一起，我去驱散她们的时候，好像听到她们提到了你……具体我也没有听清，总之你最近小心点狸猫吧。
DLC3_Main_Part4_KizunaProgress_Mission	狸猫的情报大作战！	当今社会，只要掌握情报就能成为世界主宰。所谓知己知彼，才能百战百胜。了解对手的最好办法，就是打入对手内部！
