id	name	Description
4000	炸番茄条	"为什么炸土豆条和番茄酱永远是标配？我不仅偏要炸番茄条，我还要独独给它淋上土豆酱！"\n<align="right">——鬼人正邪\n<align="left">把西红柿裹上面粉后放到油锅炸一炸，出锅后淋上自制土豆酱，尝起来也算是别有一番趣味。
4001	蜜桃红烧肉	软糯的肉加上香甜的桃子，即使白嘴吃也不会觉得腻。淋上蜂蜜一起翻炒，更是红润添香，非常适合下酒。
4002	逆转天地！	使用革新技术制作的分子料理，据说是来自月都的食谱。在制作过程中存在许多无法理解之处，所以经过一定程度的再创作，最终成为这样一个结合了世人眼中的“雅”与“俗”之物的地上料理，也寄托着正邪想要搅混天下的意愿。
4003	红豆大福	用糯米制成的外皮，里头包着饱满的带皮红小豆馅。馅料的量跟饼皮的量一样甚至更多，使得大福的外型圆浑有致。据说大福就因为这样的外型而被称为“大腹饼”，后人取其吉祥的谐音改称“大福”。
4004	铜锣烧	一种烤制面皮、内置红豆沙夹心的甜点。因由两块像铜锣一样的饼合起来的，故而得名铜锣烧。
4005	汉宫藏娇	用豆腐的洁白来形容貂婵的纯洁，以泥鳅的钻营来影射董卓的奸滑。让人在品尝中，想到王允献貂婵，巧使美人计而除奸贼董卓的故事，自然为美食增添了文化的含量。
4006	石锅竹笋炖肉	以牛肉、竹笋为主要食材的一道家常菜品。鲜嫩的竹笋炖肉具有开胃、促进消化的作用，再以竹子作为摆盘，可谓是色香味俱全。
4007	竹筒粉蒸肉	选用猪身上最嫩的部位，将新鲜的竹筒锯留成节笆，通小孔，灌上菜料和香料，开大火蒸熟后飘出竹子的独特清香。有时间的条件下，在腌渍肉片的时候加点清水会更加晶莹润口。
4008	翠竹迎春	将各种鲜嫩的食材放入多节竹筒蒸熟，寓意节节高升。而春竹翠绿娇艳的样子，既给客人带来视觉味觉上的新意，还蕴含着迎春的美好寓意。
4009	梅子茶泡饭	用汤汁和热腾腾的白饭制作的茶泡饭！茶泡饭所用的汤汁通常为煎茶、烘焙茶或富有柴鱼香气的高汤，最后加入的梅子给这道素淡的菜品增添了一抹艳色。
4010	海胆蒸蛋	将鸡蛋加入海胆蒸至海胆黄变色就可以出锅的简单料理。吃的时候用勺子挖下去，一口一勺，海胆和蛋羹互相融合渗透的美味就在味蕾上蔓延了。
4011	幻想风靡	对火候要求极其苛刻的一道菜，需聚息凝神地将肉品烤至完美的三分熟。暗红的色调以及极具破坏性的龙卷风形状，带来了山海欲来的压迫感。一口下去，有种仿佛征服了天下的快感。
4012	绿野仙菇	本质上是野菜拌蘑菇，但因为这个名字多了一些奇妙的童话感。
4013	花鸟风月	牵丝攀藤地解开“花鸟风月”一词，同时想象着幽香小姐做出来的三角蛋糕。整体风格就像她本人一样风雅，不过上面插了一根我的羽毛，应该还算有趣吧？
4014	幽梦	以花卉为主题的双层奶油蛋糕。锦簇花团铺在细腻的奶油上，散发出丝丝香甜，蓝色的蝴蝶轻轻驻足，久久不归。这不是梦境，却胜似梦境。
4015	香椿煎饼	用有“毒”的野菜——香椿制成的煎饼。初尝有种苦苦涩涩的味道，嚼下去后口齿留甘。牢记！给普通客人食用须先将香椿用开水焯过一遍！
4016	毒瘴花园	用各种“毒食材”混合炖煮的杂炊。通过细致而精巧的食材处理手段，能够不同程度地保留食材中的“毒性”，让不同需求的客人均能体验到他们想要的刺激。
4017	小小的甜蜜「毒药」	这是专门给小小的毒人偶——梅蒂欣制作的印象甜品。可爱中带着诡异的色彩，犹如自然界中绚丽的毒蘑菇勾人采摘。实际是没有毒的，梅蒂欣也是~
