ID	NAME	Description1	Description2	Description3
5000	铃仙	似乎因为我来自地上，所以对我很亲切的月之使者，和永远亭的铃仙小姐有着一样的名字。偶尔会表现出对地上的向往，不知道是不是过去发生了什么……也可能是因为月之使者的训练太辛苦了吧。	原来铃仙曾经是一只捣药兔，因为厌烦无休止的捣药逃到幻想乡而发生了许多事，所以才成为一名月之使者。难怪她会对地上表现出眷恋。不过她似乎也不喜欢月之使者的工作，感觉她从内到外都过得好辛苦啊……	一直活在后悔中是一种怎样的心情呢？如果时间可以重来，她就不会从捣药的工作中逃走了吗？那样她就会感到幸福吗？这些问题我都没能问出口……不过，与其徘徊在过去，还是向前看比较好吧？希望她有朝一日能得到真正的自由。
5001	绵月丰姬	绵月家的姐姐。性格和蔼温柔，偶尔会露出孩子气的一面。除了偶尔会在月之使者训练时给兔子们带小点心，几乎没有参与月之使者的训练，因此很受月兔的喜爱。	丰姬小姐真是相当——相当喜欢桃子，以及相当——相当优哉游哉。像她这么强大的人，真的可以这样什么都不用操心吗？无论在什么环境下都能活得这么天真，这应该也算是一种能力吧？	原来丰姬小姐心里也有想要完成的事呢。她是从什么时候开始产生想要隐退的想法呢？或许从一开始，她就只是被迫继承月之使者首领的工作吧。至今没有隐退，一来是没有合适的继任者，二来……恐怕还是为了依姬小姐吧？
5002	绵月依姬	绵月家的妹妹。个性认真严谨，，担负着兔子们的战斗、学习、礼法的训练——几乎包揽了月之使者首领该做的所有活儿。虽然实际上几乎没有战斗，但对待训练却很严格，兔子们要是偷懒就会被严厉惩罚。	因为性格太过于一板一眼，对待训练又十分严厉，兔子们都不太亲近她。和清闲自在的姐姐相反，依姬小姐似乎一直处于无法放松的状态，可能聪明人总是容易想太多……	依姬小姐继承了师父的意志，想要为月之都做出贡献，所以她才时刻保持着危机感。严格操练士兵，也是不希望她们在战争中死去。将所有一切背负下来的依姬小姐，真是坚强又温柔啊……
5003	爱莲	勤劳、善良热情的小女孩，开着一家“蓬松松爱莲”魔法店，还养了一只叫做苏格拉底的、个性有点酷的猫。	只要遇到需要帮助的人，爱莲小姐就会尽十二分努力去帮助，是个非常友好的魔法使！爱莲小姐对工作也一直保持着相当的热忱，每次和她对话感觉自己也变得活力满满了。	明明外表和个性看起来都很年幼，却是个已经活了几千年的大魔法使，真是完全看不出来！活得久的妖怪我也见了不少，但活了那么久还能保持这份纯真浪漫与善良的，爱莲小姐真是独一人！
5004	魅魔	独自在魔界进行着（危险？）研究的……学者？自称是神灵，但被大家视为恶灵或邪灵。不管怎么样，能感受到她扎扎实实的强大和自信，她到底是怎样的存在呢？	魅魔小姐竟然诞生源自那个雾雨家的魔法实验，真是太让人惊讶了！不过，就算有着这样的渊源，信念坚定的魅魔小姐也绝不会受任何人所有或支配。追求和探索真理是魅魔小姐一生的目标，就算因此和雾雨家决裂、打了上百年的仗也不曾改变过本心。	原来魅魔小姐就是魔理沙小姐的师父！我早就应该想到的，她们俩真的有很多共同点！无论是追求知识的执著和专注这点，还是道德感方面……以及，从来不会展现自己软弱和脆弱的一面……表面看起来完全不同的，这两个孤独又坚定的人，过去会是什么样子的呢？
5005	露易兹	经常偷偷溜出魔界甚至去外界旅行(工作)的魔界人，几乎随身带着一个可以自动行走的行李箱。工作内容是在一个叫做“博客”的地方分享自己的旅行过程，据说很受外面世界的人类欢迎。真奇怪，人类这么喜欢看别人旅行吗？	原来露易兹小姐不仅仅分享旅行过程，也经常分享自己的创意设计。她不仅见多识广，有非常多有趣的想法和创意，还很了解时尚，很会夸人，很会做甜品……真希望自己也能成为像露易兹小姐这样优秀的人呀。	就算像露易兹小姐这样满心满意地为了人类而行动的人，也一样无法得到所有人的认同。想要互相理解真不是一件容易的事啊。但就算这样，露易兹小姐也没有打算放弃热爱的工作。希望她的未来能够一直“不负热爱”。
5006	哆来咪	支配着梦境世界的梦貘。平时栖息于梦境世界，为了维护秩序而监视着生物的梦。	简介2	简介3
5007	萨拉	魔界的守门人。在魔界人之中实力不太强，性格很容易心软。经常作顺水人情放走偷溜出来的魔界住民，比如爱莲、露易兹……据说爱丽丝当初也是她偷偷放出去的。	简介2	简介3
5008	四季映姬	地狱的判官，平时负责给死者定罪，判断让死者去地狱还是天界，或者别的什么地方。受工作的影响，说教的让人有些烦，不过从来不会说出有失偏颇的话语。平时生活在彼岸，偶尔也会出现在幻想乡。	简介2	简介3
5009	神绮	魔界的造物者，某种意义上是所有魔界居民的母亲。性格温柔，深受魔界居民的景仰，对于魔界的管理基本采用了放任模式。虽然是个了不起的人物，但似乎有着天然呆的一面？	简介2	简介3
