id	name	Description
3000	烤地瓜	无论什么时候都大受欢迎的民间小吃。尤其在寒冷的冬天，看到热气腾腾的烤炉，想到那红皮黄瓤的颜色、热乎甜软的口感，谁能忍得住呢？但不能贪嘴，吃太多容易导致胃腹不适。
3001	瘦马团子	外表看起来像是拉长了的团子，切开后中间裹着各式各样的图案，大大增加了团子的新鲜感。据说瘦马团子象征佛舍利，那不就是佛祖的骨灰吗？
3002	惊吓！大冒险	从幻昙华中提取色素，给一个个蘑菇伞染上颜色，将之铺在宝箱周围就像被锦花簇拥着。宝箱里究竟藏有什么惊喜呢？怀着这样的想法打开，跳出来的却是伸着大舌头的滑稽的伞！吓一跳了吧——？
3003	比斯开湾饼干	从海难中逃到荒岛的幸存者，万般无奈地将已被海水浸湿的面粉和芝士混合成的“面糊”放在阳光下烤，没想到味道变得十分香脆可口。于是这个做法流传了下来。
3004	海盗熏肉	据说“海盗”这个词的来源是在明火上烹制的熏肉。加勒比本地人就是用这种做法来处理肉类，然后卖给海盗。听起来就和米饭盖浇米饭一样奇怪。
3005	罗汉上素	源自佛门的斋菜。传闻正宗的罗汉斋用十八种原料制成，工序复杂考究，成菜色泽缤纷雅致，味道清淡香郁。堪称佛门最奢华的一道素菜。
3006	云山棉花糖	命莲寺的弟子中有个能够变幻形态的入道，只要见过他的样子，就很容易联想到棉花糖。加入桃汁制作的棉花糖甜而不腻，造型生动有趣，深受小孩子的喜爱。
3007	圣白莲子糕	将新鲜莲子剥壳去芯，煮至软烂，再将黄油与面粉搅拌均匀，最后混合翻炒，用模具压出美丽的莲花图案，看起来神圣洁白。
3008	幻想星莲船	以南瓜做的船，承载着如梦似幻的食材，在莲子铺成的河上驶入幻想。据说每每享用完这道料理，都会有如梦方醒的感觉。至于究竟是何种梦境，便是因人而异了。
3009	松子糕	以糯米为主料、辅以松子制作的药膳。松子糕的粉质细腻，柔软可口，并有清香的松子味，深受道士们喜爱。
3010	白鹿贞松	白鹿和松树都有长寿的寓意，深受追求长生的道教人士的推崇，于是有“鹿寿松贞”之画，即一只白鹿立于松树之下。这道菜就是以这幅画为印象创作出来的~
3011	太极八卦鱼肚	做法极其讲究的道教经典名菜。鱼肚片片，要愈薄愈好；太极图则要注意造型圆整、八卦形等距，最后再经过细心蒸煮，才能呈现出这道形象生动、鱼肚软糯的道家名菜。
3012	蜜饯栗子	把栗子用蜂蜜熬煮之后的成品。栗子里温和而浓郁的味道，可以有效地平衡外在的甜味。
3013	天师板栗焖菇	神灵庙位处仙界，所栽种的栗树据说都蕴含仙气。但我是分辨不出啦……将栗子佐以蘑菇焖煮，把看不见摸不着的仙气浓缩成一锅鲜甜味美又解馋的杂烩，岂不是更实在？
3014	荷花鱼米盏	洁白的盘中铺上碧绿的荷叶，叶上还滚动着晶莹的水珠，盘中央一朵白荷则增添了“仙气”。每一盏里都以鲜嫩的粉色荷花花瓣为底，盛着极上金枪鱼、莲子组成的“鱼米盏”，又好吃又健康。
3015	拔丝地瓜	将番薯下锅炸至金黄，再裹上能拉出细丝的糖衣，最后在抹过油的盘子上滚一圈，既可口又不粘牙。但不能贪嘴，吃太多容易导致胃腹不适。
3016	香煎双菇肉卷	荤素搭配均匀，味道也很好的常见佳肴。用两种不同口感的菇类，包裹着精挑细选的嫩肉，给味蕾带来层次感十足的享受。
3017	什锦天妇罗	谁说炸物就必须得是鸟类呢？地上跑的、土里长的、水里游的都可以裹上面粉放到油锅里炸一炸，出锅皆是香味四溢、酥脆爽口。最后以梦幻的月光草为缀，巧妙地中和了炸物拼盘的油腻。
