EnumId	Name	Description
Aya_Forbidden_Throw	天狗开风	投掷上菜失效，剩余$a秒
Aya_Popular_Store	明星店	夜雀小姐的生意相当不错。\n<align="right">——《文文。新闻》\n<align="left">客流量提高$a%；\n客人预算提高$b%；\n"招牌"成为流行标签
Aya_Positive	无双厨神	制作明星料理时若料理时间小于$b秒则瞬间完成；\n喜好「$e」标签的客人食用明星料理时额外提高$c%续单率，返还当单酒水消耗的预算，且$d%增加1次续单上限，剩余$a秒
Medicine_Positive	剧毒中和	料理标签不再产生冲突，剩余$a秒
Medicine_Negative	凋零花园	制作料理时额外为料理追加「$b」标签，吃到该标签的客人不再续单，剩余$a秒
Shinmyoumaru_Positive	万宝槌之力	夜间营业结束时，万宝槌之力将使营业额膨胀至$a倍，当前层数为：$b
Shinmyoumaru_Negative	进击的夜雀	被万宝槌击中了！体型与碰撞体积扩大到原来的$a倍，剩余$b秒
Seija_Reverse_Negative	阶级反转	全场所有客人的预算将持续降低到全场最低水平，剩余$a秒
Seija_Reverse_Positive	天地翻覆	全场客人的厌恶标签翻转为喜好标签，剩余$a秒
Kagerou_Positive	野性觉醒	客人们内心深处的野性觉醒，将$a标签视为喜好标签，原本喜好这些标签的客人评价至少为$b，剩余$c秒
Kagerou_Negative	喋血狼牙	客人的料理在没有添加$a标签、或原本厌恶这些标签时，评价最高为$b,剩余$c秒
Remilia_Positive	绯红前夜	本日结束时，转化为「红色不夜城」
Remilia_Positive_During	红色不夜城	伙伴的工作速度提高$a%;\n普通客人的预算不会低于$b;\n客人的续单率提高$c%;\n持续至营业结束
Remilia_Positive_SpawnGuest	红月逐人来	午夜狂欢，刷新普通客人，剩余$a秒
Remilia_Negative	真·红雾异变	订单区域被红雾遮住了！剩余$a秒
Yuuka_Positive_Flower	幻想花开	每朵鲜花每隔$a秒生产$b小费。鲜花会吸收符卡之力而盛放。目前拥有$c朵鲜花
Yuuka_Positive_Shield	落英缀裳	发生导致Combo中断的失误时，Combo不会中断，剩余$a次
Yuuka_Negative	彼岸花落	座位$a被魔炮轰散了
Larva_Sleep_Powder	鳞粉乃梦泉	受到催眠粉影响的稀有客人，在用餐时会忘掉自己的点单。\n受到催眠粉影响的普通客人，爱上「$b」标签，用餐时返还当次消耗的料理预算。\n催眠粉在$a秒后消散
Sekibanki_Head_Stampede	辘轳首暴走	充盈的万宝槌之力使分裂出的辘轳首产生了暴走！移动速度提高$b%，剩余$a秒
Yuka_SunPower	阳光能量	提高$a%的料理速度
Yuuka_Positive_Flower_Blossom	一路繁花	鲜花盛放，客人用餐结束后额外增加$b心情，$a秒后凋谢。
ShinmyoumaruBossBattle_MagicWallet	一寸之壁	场上所有芙兰的攻击力下降至1（一击必杀效果仍然有效），剩余$a秒
Patchouli_Spell_Metal	金之庇佑	每秒获得$aP点，若P点数小于$c则效果翻倍，剩余$b秒
Patchouli_Spell_Wood	木之庇佑	我方角色攻击速度提高$a%，剩余$b秒
Patchouli_Spell_Water	水之庇佑	休整速度提高$a%，剩余$b秒
Patchouli_Spell_Sun	日之庇佑	我方免疫来自敌人的近战攻击，剩余$a秒
Patchouli_Spell_Moon	月之庇佑	我方免疫来自敌人的远程攻击，剩余$a秒
