ID	NAME	DECRIPTION
4000	普通的钓鱼竿	普通的钓鱼竿，只能进行一些简单的钓鱼工作，想必效率不高。\n在地下室的展示柜中启用后，各地会出现钓鱼点。
4001	超级钓鱼竿	可以进行精细高级操作的钓鱼竿，除了能够钓鱼，还能够寻找到宝箱！非常神奇！\n在地下室的展示柜中启用后，各地会出现钓鱼点。
4003	花的报恩	用鲜花编织的小裙子。鲜花上附着了花之主的魔力，故而永不凋谢。
4004	番长服	正邪为二把手准备的队服。巧妙地融合了不良与夜雀、音乐的元素，穿起来帅气非凡的同时还能彰显自我。可以看出制作者花了不少心思。
4005	唱片「太阳花田」 ~ 其一	收录了太阳花田的营业之歌的唱片，一共三首，此为第一首。可以随时放在留声机里播放。
4006	唱片「太阳花田」 ~ 其二	收录了太阳花田的营业之歌的唱片，一共三首，此为第二首。可以随时放在留声机里播放。
4007	唱片「太阳花田」 ~ 其三	收录了太阳花田的营业之歌的唱片，一共三首，此为第三首。可以随时放在留声机里播放。
4008	唱片「辉针城」 ~ 其一	收录了辉针城的营业之歌的唱片，一共三首，此为第一首。可以随时放在留声机里播放。
4009	唱片「辉针城」 ~ 其二	收录了辉针城的营业之歌的唱片，一共三首，此为第二首。可以随时放在留声机里播放。
4010	唱片「辉针城」 ~ 其三	收录了辉针城的营业之歌的唱片，一共三首，此为第三首。可以随时放在留声机里播放。
4011 	唱片「抓鬼比赛」 ~ 其一 	收录了抓鬼比赛营业之歌的的唱片，一共三首，此为第一首。可以随时放在留声机里播放。
4012 	唱片「抓鬼比赛」 ~ 其二 	收录了抓鬼比赛营业之歌的的唱片，一共三首，此为第二首。可以随时放在留声机里播放。
4013 	唱片「抓鬼比赛」 ~ 其三 	收录了抓鬼比赛营业之歌的的唱片，一共三首，此为第三首。可以随时放在留声机里播放。
4100	断裂的罪人锁链	地狱用来关押罪犯的道具。上面残留着一股让人颤栗的怨念，破裂的断口似乎预示着不详的信息。
4101	鲱鱼罐头	外界流行的奇怪东西，没打开时天清地朗，一旦掀开一个小口，感觉马上就要去三途川报道了。
4102	遗忘的帽子	只有冬天才会出现的神秘妖怪留下的帽子，她在春天时到底去哪里了呢？
4103	鲤鱼旗	人间之里的人类在祭典上使用的鲤鱼旗。在人类中，流传着“鲤鱼跃过龙门就会变成龙”的传说。
4104	山茶花发饰	似乎是某个熟人经常佩戴的东西，但到底是谁呢？……感觉马上就要想起来了。
4105	鲸鱼帽子	人类村子的酒馆“鲵吞亭”看板娘的帽子。据说深夜时分，那里会变成妖怪专用酒馆“蚕食鲵吞亭”。
4106	冻青蛙	被冻在冰里的青蛙，想必是某个笨蛋妖精的恶作剧。
4107	窃贼遗漏的魔法书	据知情者说，这是某个刚从红魔馆满载而归的“黑白大盗”遗落的魔法书，书上厚重的魔力保护了书免遭水的侵蚀。
4108	儿童座椅	人类小孩吃饭时常用的防摔餐椅，奇怪的是，上面竟然隐约缠绕着一缕吸血鬼的魔力。
4109	破损的阴阳玉	据说是永夜异变时，博丽的巫女在竹林中战斗时留下的道具。
4110	破损的金平糖罐	据说是永夜异变时，森林的魔法使在竹林中战斗时留下的痕迹。
4111	可拆卸耳朵	看起来像是兔子的耳朵……这种耳朵原来是可拆卸的吗！？
4112	空白卡牌	不知道是做什么用的空白卡牌。
4113	神奇手套	河童们发明的手套，比空手作业时有更好的精度和稳定性，还能吸附小零件。
4114	河童的假发	似乎钓上了什么河童们的终极机密……
4115	附魔钓鱼竿	散发着诅咒气息的钓竿。咦……？我用钓竿钓上了钓竿？
4116	谜之盾牌仿制品	上海人形进行防御行为时手持的盾牌，该盾牌造型据说参考了某个次元里的一年战争期间某令人闻风丧胆的恶魔所装备的盾牌……
4117	天丛云剑	上古三大神器之一、破魔的神剑！在遥远的过去还流传着得神剑者得天下的传闻。
4118	血池地狱旅游传单	上面写着“传说寄宿着邪恶猛兽的血池地狱一日游！详情请咨询依神姐妹旅社”的字样。
4119	旧地狱花魁的明信片	旧地狱温泉街消费一定金额获赠的花魁的签名明信片，地底公认最强最美的人才能印在上面。
4120	审判账	写着许多人类寿命极限的超可怕的道具……划掉名字的话是不是就可以永生了？
4121	仿制的希望之面	附近的住民说前阵子常见到这个面具的制作者在把玩它，但谁也想不起来那个人到底是谁。面具上的模样似乎是一位擅长能乐的付丧神。
4122	紫色的电话机	有着恐怖都市传说的道具，如果有一天突然响了，也不要去听。
4123	猫猫胸针	以阿燐形象制作的地底纪念品，非常可爱，很有人气！
4124	没底的舀子	传闻在航行中遭遇船幽灵攻击时，只要给她一把没有底的舀子，就能逃出一劫。
4125	宝塔	星小姐经常拿在手里的宝塔，据响子说她经常把它弄丢，还嘱咐捡到的人千万不要告诉娜兹玲小姐。
4126	摩托车钥匙	钥匙上篆刻着经文，据响子说它能驱动潜伏在寺院里的巨大黑色怪兽……
4127	没写完的符咒	青娥小姐给僵尸写的符咒，但这个写到一半就丢弃了，上面好像写着“给我变……！”等字样。
4128	鸭子救生圈	为了克服僵尸对水的弱点，青娥小姐特意研究了这种可以浮水的道具。
4129	旧时的古币	在神子时代的一捆钱，受圣人的护佑没有受损。虽然数额很大，但在现代一毛不值。
4130	陈旧的破帽子	分不清是魔法帽还是睡帽，看着很残破了，品味和造型也很奇怪。
4131	六芒星十字架	微微发着光，很好看的装饰物，但是有强烈人类的气息和灵力？
4132	星月睡帽	有着星星和月亮图案的帽子，散发着让妖怪也齿冻胆寒的妖力……可谓沉眠的恐怖。
4133	鼓棒	在幻想乡少见的打击乐器的鼓棒，上面有特殊的雷纹，从上面的痕迹可以看出它原主人夜以继日的练习量。
4134	荧光棒	Live活动用来提升现场气氛的道具，目前已经失去了电力，再也无法点亮。
4135	秘密写真底片	文文小姐用她高超的摄影技术拍下的「〇〇」的「〇〇」照片，可惜只能在另一个叫华彩乱战2的世界里才能将其念写成型。
4136	通缉令	画着正邪头像的通缉令，赏金是¥1000。据说不久之前只有¥100。
4137	航海家帽子	在混混中非常流行的帽子，已经很破旧了。但为什么混混都喜欢这种风格呢？不解……
4138	万宝槌(赝品)	正邪批量生产的万宝槌，虽然没有小人族的魔力，但是打架时对着对方脑袋上来一槌可比魔法好使多了！
4139	奇怪的鱼	长得很好笑！因为太好笑了都舍不得用来做菜！就这样养在水里，平时不开心了看看它就会笑出来！真是太好玩了！
4140	白色的塑料椅	看到这把椅子就会有一种坐在上面背对来客的冲动。
4141	四次元阳电子炸弹	上面标记着“失效的地球破坏用”字样，看起来已经没用了。
4142	战车模型	某个工程师手工制作的战车模型。如果按比例放大以后批量生产，会是很恐怖的战斗力吧？
4143	社团观察记录	一份报告：档案编号No.1209，检测到地球上某个俱乐部正在观察月球，未发现其威胁，不予归档。
4144	恒常燃烧的火炬	在静海里也永不熄灭的火炬，火焰向静寂的宇宙喷薄着惊人的狂气，仿佛生命力狂放一般。
4145	遗留的酒瓶	写着“千年古酒”字样的空酒瓶。虽然被喝得一滴不剩，但依然散发着地上罕见的醇香味。
